Código Interno;Razão Social;E-mail corporativo;Setor de Atuação;Receita Recorrente Mensal;Inatividade (dias);Score de Engajamento;Índice de Adimplência;Net Promoter Score;Feedback Aberto;Tickets Abertos;Categoria do Ticket;Vigência Contratual (meses);Data Limite de Contrato;Observações do AM;Segmento Fiscal
RET-017;Mineração Vale do Rio;pedro.vale@mineracaovrio.com.br;Extração Mineral;R$ 22.000,00;5;91;99;10;Plataforma incrível. Ajuda muito na tomada de decisão;0;;48;03/03/2027;;EXTR
RET-071;Petroquímica Refino Norte;ana.barros@refinonorte.com.br;Petroquímica;R$ 20.500,00;55;18;68;3;suporte demorou 5 dias para responder e perdemos um cliente por isso;10;Suporte técnico;24;07/03/2026;;PETR
RET-054;Exportações Grão Nacional;isabel.menezes@graonacional.com.br;Agronegócio;R$ 19.500,00;6;90;100;10;Plataforma indispensável. Resultados acima do esperado;0;;48;03/06/2027;;AGRO
RET-009;Agro Cerrado Exportações;thiago.oliveira@agrocerrado.com.br;Agronegócio;R$ 18.700,00;7;90;98;10;Excelente ferramenta para gestão de carteira;1;Capacitação;36;22/11/2026;;AGRO
RET-075;Geração de Energia Renov;adriano.queiroz@renovenerg.com.br;Energia;R$ 18.300,00;68;10;66;3;suporte demorou 5 dias para responder. Situação insustentável;9;Suporte técnico;24;01/07/2026;;ENER
RET-026;Equipamentos Pesados NS;juliana.ribeiro@nsequipamentos.com.br;Metalurgia;R$ 17.300,00;6;87;99;10;Excelente! Melhor ferramenta que já usamos;0;;36;01/12/2026;;META
RET-035;Transportadora Rápida São Paulo;maurício.fernandes@rapidasp.com.br;Logística;R$ 16.500,00;7;88;99;10;Excelente ferramenta de gestão. Muito satisfeitos!;0;;48;20/06/2026;;LOGÍ
RET-049;Distribuição Farmacêutica Faro;fábio.cunha@farofarma.com.br;Farmácia;R$ 16.200,00;7;87;99;10;Plataforma de excelência. Equipe fantástica;0;;36;14/12/2026;;FARM
RET-005;Logística Expresso Verde;roberto.santos@expressoverde.com.br;Logística;R$ 15.000,00;6;88;99;10;Plataforma top de linha. Melhorou muito nosso controle;0;;6;14/05/2026;;LOGÍ
RET-046;Telecomunicações Conectar;lúcia.vieira@conectartelco.com.br;Telecom;R$ 14.900,00;5;89;100;10;Sistema robusto. A melhor decisão que tomamos;0;;48;27/08/2026;;TELE
RET-073;Siderúrgica Aços do Sul;débora.matos@acosdosul.com.br;Siderurgia;R$ 14.800,00;48;22;70;4;não temos acompanhamento do nosso AM há mais de 2 meses;12;Acompanhamento comercial;36;30/05/2026;;SIDE
RET-016;Química Nordeste Industrial;claudia.teixeira@quimicanordeste.com.br;Química;R$ 14.500,00;8;86;100;9;Ótimo investimento. Retorno visível em 3 meses;0;;36;17/10/2026;;QUÍM
RET-032;Automação Predial Smart;celeste.araújo@automacaosmart.com.br;Construção;R$ 13.700,00;8;84;100;10;Sistema muito bom. Integração perfeita com nosso ERP;0;;36;30/01/2027;;CONS
RET-011;Solução IT Partners;gustavo.nunes@solutionit.com.br;Tecnologia;R$ 13.200,00;6;84;100;10;Plataforma robusta e time de CS excepcional;0;;30;18/09/2026;;TECN
RET-043;Metalúrgica Estrela do Norte;paulo.rezende@estrelametais.com.br;Metalurgia;R$ 12.500,00;6;85;99;10;Ferramenta excelente para nosso setor;0;;36;18/10/2026;;META
RET-002;Transportes Rota Sul S.A.;fernanda.costa@rotasul.com.br;Logística;R$ 12.000,00;5;85;100;10;Superou todas as expectativas. Recomendo muito!;1;Capacitação;24;30/09/2026;;LOGÍ
RET-020;Farmacêutica Saúde Plena;tatiana.gomes@saudeplena.com.br;Farmácia;R$ 11.800,00;7;83;98;9;Muito contentes com o resultado. Renovaremos com certeza;0;;36;20/02/2027;;FARM
RET-077;Insumos Agrícolas Plantio Certo;celso.guerra@plantiocerto.com.br;Agronegócio;R$ 11.600,00;44;20;68;2;não temos acompanhamento do nosso AM. Contrato vence em breve;7;Acompanhamento comercial;36;14/04/2026;;AGRO
RET-007;Distribuidora Nordeste Atacado;marcos.ferreira@nordesteatacado.com.br;Distribuição;R$ 11.500,00;9;82;100;10;Recomendo a todas as empresas do setor;0;;48;01/04/2028;;DIST
RET-038;Consultoria Empresarial Apex;tatiane.neves@apexconsultoria.com.br;Consultoria;R$ 11.200,00;8;83;98;10;Solução completa. Atendemos melhor nossos clientes;0;;36;07/11/2026;;CONS
